datetime,id,stdorToU,Ppower
2012-07-12 01:30:00,MAC004015,Std,0.0318742044995412
2012-07-12 02:00:00,MAC004015,Std,0.0331491726795228
2012-07-12 02:30:00,MAC004015,Std,0.0365490878261405
2012-07-12 03:00:00,MAC004015,Std,0.0322991938928684
2012-07-12 03:30:00,MAC004015,Std,0.0318742044995412
2012-07-12 04:00:00,MAC004015,Std,0.0361240984328133
2012-07-12 04:30:00,MAC004015,Std,0.0322991938928684
2012-07-12 05:00:00,MAC004015,Std,0.0314492151062139
2012-07-12 05:30:00,MAC004015,Std,0.0441988969060304
2012-07-12 06:00:00,MAC004015,Std,0.0322991938928684
2012-07-12 06:30:00,MAC004015,Std,0.0310242257128867
2012-07-12 07:00:00,MAC004015,Std,0.0365490878261405
2012-07-12 07:30:00,MAC004015,Std,0.0322991938928684
2012-07-12 08:00:00,MAC004015,Std,0.0386740347927766
2012-07-12 08:30:00,MAC004015,Std,0.1015724650052046
2012-07-12 09:00:00,MAC004015,Std,0.137696563438018
2012-07-12 09:30:00,MAC004015,Std,0.1113472210517306
2012-07-12 10:00:00,MAC004015,Std,0.0616234620324463
2012-07-12 10:30:00,MAC004015,Std,0.0458988544793393
2012-07-12 11:00:00,MAC004015,Std,0.0454738650860121
2012-07-12 11:30:00,MAC004015,Std,0.0509987271992659
2012-07-12 12:00:00,MAC004015,Std,0.0463238438726665
2012-07-12 12:30:00,MAC004015,Std,0.1134721680183667
2012-07-12 13:00:00,MAC004015,Std,0.1177220619516388
2012-07-12 13:30:00,MAC004015,Std,0.0522736953792475
2012-07-12 14:00:00,MAC004015,Std,0.049298769625957
2012-07-12 14:30:00,MAC004015,Std,0.0509987271992659
2012-07-12 15:00:00,MAC004015,Std,0.0454738650860121
2012-07-12 15:30:00,MAC004015,Std,0.0458988544793393
2012-07-12 16:00:00,MAC004015,Std,0.0501487484126114
2012-07-12 16:30:00,MAC004015,Std,0.0501487484126114
2012-07-12 17:00:00,MAC004015,Std,0.0607734832457918
2012-07-12 17:30:00,MAC004015,Std,0.1189970301316205
2012-07-12 18:00:00,MAC004015,Std,0.4806630038530813
2012-07-12 18:30:00,MAC004015,Std,0.1134721680183667
2012-07-12 19:00:00,MAC004015,Std,0.1236719134582198
2012-07-12 19:30:00,MAC004015,Std,0.1257968604248559
2012-07-12 20:00:00,MAC004015,Std,0.0603484938524646
2012-07-12 20:30:00,MAC004015,Std,0.0943476453186419
2012-07-12 21:00:00,MAC004015,Std,0.0730981756522811
2012-07-12 21:30:00,MAC004015,Std,0.0798980059455166
2012-07-12 22:00:00,MAC004015,Std,0.0798980059455166
2012-07-12 22:30:00,MAC004015,Std,0.0735231650456083
2012-07-12 23:00:00,MAC004015,Std,0.0968975816786052
2012-07-12 23:30:00,MAC004015,Std,0.0412239711527399
2012-07-13 00:00:00,MAC004015,Std,0.03357416207285
2012-07-13 00:30:00,MAC004015,Std,0.03357416207285
2012-07-13 01:00:00,MAC004015,Std,0.0369740772194677
2012-07-13 01:30:00,MAC004015,Std,0.0327241832861956
2012-07-13 02:00:00,MAC004015,Std,0.0327241832861956
2012-07-13 02:30:00,MAC004015,Std,0.0356991090394861
2012-07-13 03:00:00,MAC004015,Std,0.0331491726795228
2012-07-13 03:30:00,MAC004015,Std,0.0322991938928684
