Timestep,Bus,P(kW),Q(kvar)
2012-07-07 09:30:00,busload_023,0.0415,0.017
2012-07-07 09:30:00,busload_024,0.0633,0.0259
2012-07-07 09:30:00,busload_025,0.3339,0.1364
2012-07-07 09:30:00,busload_026,0.02,0.0088
2012-07-07 09:30:00,busload_027,0.0876,0.0358
2012-07-07 09:30:00,busload_028,0.0263,0.0079
2012-07-07 09:30:00,busload_029,0.2593,0.1059
2012-07-07 09:30:00,busload_030,0.0952,0.0287
2012-07-07 09:30:00,busload_031,0.1008,0.0346
2012-07-07 10:00:00,vsource,0,0
2012-07-07 10:00:00,bus_001,0.0,0.0
2012-07-07 10:00:00,bus_002,0.0,0.0
2012-07-07 10:00:00,bus_003,3.2541,-0.0
2012-07-07 10:00:00,bus_004,0.0,0.0
2012-07-07 10:00:00,bus_005,0.0,0.0
2012-07-07 10:00:00,bus_006,0.0,0.0
2012-07-07 10:00:00,bus_007,3.2541,-0.0001
2012-07-07 10:00:00,bus_008,0.0,0.0
2012-07-07 10:00:00,bus_009,0.0,0.0
2012-07-07 10:00:00,bus_010,0.0,0.0
2012-07-07 10:00:00,bus_011,3.2541,-0.0001
2012-07-07 10:00:00,bus_012,0.0,0.0
2012-07-07 10:00:00,bus_013,0.0,0.0
2012-07-07 10:00:00,bus_014,0.0,0.0
2012-07-07 10:00:00,busload_001,0.2753,0.1068
2012-07-07 10:00:00,busload_002,0.1498,0.0644
2012-07-07 10:00:00,busload_003,0.138,0.0595
2012-07-07 10:00:00,busload_004,0.086,0.0342
2012-07-07 10:00:00,busload_005,0.2665,0.1093
2012-07-07 10:00:00,busload_006,0.1489,0.056
2012-07-07 10:00:00,busload_007,0.0213,0.0094
2012-07-07 10:00:00,busload_008,0.0658,0.033
2012-07-07 10:00:00,busload_009,0.0742,0.0253
2012-07-07 10:00:00,busload_010,0.0792,0.027
2012-07-07 10:00:00,busload_011,0.4299,0.1757
2012-07-07 10:00:00,busload_012,0.1116,0.029
2012-07-07 10:00:00,busload_013,0.0605,0.0182
2012-07-07 10:00:00,busload_014,0.0753,0.0308
2012-07-07 10:00:00,busload_015,0.1015,0.0479
2012-07-07 10:00:00,busload_016,0.0731,0.0366
2012-07-07 10:00:00,busload_017,0.0893,0.0422
2012-07-07 10:00:00,busload_018,0.0651,0.0266
2012-07-07 10:00:00,busload_019,0.1067,0.0436
2012-07-07 10:00:00,busload_020,0.0511,0.0256
2012-07-07 10:00:00,busload_021,0.1823,0.055
2012-07-07 10:00:00,busload_022,0.0603,0.0182
2012-07-07 10:00:00,busload_023,0.0292,0.0119
2012-07-07 10:00:00,busload_024,0.1961,0.0804
2012-07-07 10:00:00,busload_025,0.3424,0.1399
2012-07-07 10:00:00,busload_026,0.01,0.0044
2012-07-07 10:00:00,busload_027,0.0722,0.0295
2012-07-07 10:00:00,busload_028,0.0263,0.0079
2012-07-07 10:00:00,busload_029,0.2634,0.1078
2012-07-07 10:00:00,busload_030,0.0413,0.0125
2012-07-07 10:00:00,busload_031,0.0694,0.0247
2012-07-07 10:30:00,vsource,0,0
2012-07-07 10:30:00,bus_001,0.0,0.0
2012-07-07 10:30:00,bus_002,0.0,0.0
2012-07-07 10:30:00,bus_003,3.5795,-0.0
2012-07-07 10:30:00,bus_004,0.0,0.0
2012-07-07 10:30:00,bus_005,0.0,0.0
2012-07-07 10:30:00,bus_006,0.0,0.0
2012-07-07 10:30:00,bus_007,3.5795,-0.0
2012-07-07 10:30:00,bus_008,0.0,0.0
2012-07-07 10:30:00,bus_009,0.0,0.0
2012-07-07 10:30:00,bus_010,0.0,0.0
2012-07-07 10:30:00,bus_011,3.5795,-0.0
2012-07-07 10:30:00,bus_012,0.0,0.0
2012-07-07 10:30:00,bus_013,0.0,0.0
2012-07-07 10:30:00,bus_014,0.0,0.0
2012-07-07 10:30:00,busload_001,0.3466,0.1355
2012-07-07 10:30:00,busload_002,0.392,0.1802
2012-07-07 10:30:00,busload_003,0.1023,0.0445
2012-07-07 10:30:00,busload_004,0.0965,0.0377
2012-07-07 10:30:00,busload_005,1.0298,0.4385
2012-07-07 10:30:00,busload_006,0.1576,0.0592
2012-07-07 10:30:00,busload_007,0.0213,0.0094
2012-07-07 10:30:00,busload_008,0.1011,0.0507
2012-07-07 10:30:00,busload_009,0.0371,0.0126
2012-07-07 10:30:00,busload_010,0.0582,0.0198
2012-07-07 10:30:00,busload_011,0.4238,0.173
2012-07-07 10:30:00,busload_012,0.0338,0.0088
2012-07-07 10:30:00,busload_013,0.033,0.0099
2012-07-07 10:30:00,busload_014,0.0187,0.0076
2012-07-07 10:30:00,busload_015,0.0898,0.0423
2012-07-07 10:30:00,busload_016,0.1427,0.0714
2012-07-07 10:30:00,busload_017,0.1048,0.0494
2012-07-07 10:30:00,busload_018,0.039,0.016
2012-07-07 10:30:00,busload_019,0.1122,0.0459
2012-07-07 10:30:00,busload_020,0.0467,0.0234
2012-07-07 10:30:00,busload_021,0.1512,0.0456
2012-07-07 10:30:00,busload_022,0.019,0.0057
2012-07-07 10:30:00,busload_023,0.1078,0.0441
2012-07-07 10:30:00,busload_024,0.6439,0.2633
2012-07-07 10:30:00,busload_025,0.1634,0.0668
2012-07-07 10:30:00,busload_026,0.0333,0.0147
2012-07-07 10:30:00,busload_027,0.0773,0.0316
2012-07-07 10:30:00,busload_028,0.0383,0.0115
2012-07-07 10:30:00,busload_029,0.261,0.1066
2012-07-07 10:30:00,busload_030,0.0361,0.0109
2012-07-07 10:30:00,busload_031,0.1876,0.0689
2012-07-07 11:00:00,vsource,0,0
2012-07-07 11:00:00,bus_001,0.0,0.0
2012-07-07 11:00:00,bus_002,0.0,0.0
2012-07-07 11:00:00,bus_003,3.7843,-0.0
2012-07-07 11:00:00,bus_004,0.0,0.0
2012-07-07 11:00:00,bus_005,0.0,0.0
2012-07-07 11:00:00,bus_006,0.0,0.0
2012-07-07 11:00:00,bus_007,3.7842,-0.0001
2012-07-07 11:00:00,bus_008,0.0,0.0
2012-07-07 11:00:00,bus_009,0.0,0.0
2012-07-07 11:00:00,bus_010,0.0,0.0
2012-07-07 11:00:00,bus_011,3.7842,-0.0001
2012-07-07 11:00:00,bus_012,0.0,0.0
2012-07-07 11:00:00,bus_013,0.0,0.0
2012-07-07 11:00:00,bus_014,0.0,0.0
2012-07-07 11:00:00,busload_001,0.2306,0.0905
2012-07-07 11:00:00,busload_002,0.2743,0.1287
2012-07-07 11:00:00,busload_003,0.1217,0.0524
2012-07-07 11:00:00,busload_004,0.0878,0.0349
2012-07-07 11:00:00,busload_005,0.1231,0.0541
2012-07-07 11:00:00,busload_006,0.1262,0.0475
2012-07-07 11:00:00,busload_007,0.0597,0.0264
2012-07-07 11:00:00,busload_008,0.1135,0.057
2012-07-07 11:00:00,busload_009,0.0515,0.0175
2012-07-07 11:00:00,busload_010,0.0921,0.0313
2012-07-07 11:00:00,busload_011,0.2916,0.1193
2012-07-07 11:00:00,busload_012,0.0213,0.0055
2012-07-07 11:00:00,busload_013,0.0258,0.0078
2012-07-07 11:00:00,busload_014,0.0332,0.0136
2012-07-07 11:00:00,busload_015,0.0657,0.031
2012-07-07 11:00:00,busload_016,0.0979,0.049
2012-07-07 11:00:00,busload_017,0.1755,0.0828
2012-07-07 11:00:00,busload_018,0.0521,0.0213
2012-07-07 11:00:00,busload_019,0.2708,0.1108
2012-07-07 11:00:00,busload_020,0.0964,0.0483
2012-07-07 11:00:00,busload_021,0.1604,0.0484
2012-07-07 11:00:00,busload_022,0.0374,0.0113
2012-07-07 11:00:00,busload_023,0.1065,0.0437
2012-07-07 11:00:00,busload_024,0.4992,0.2044
2012-07-07 11:00:00,busload_025,0.2064,0.0843
2012-07-07 11:00:00,busload_026,0.0229,0.0101
2012-07-07 11:00:00,busload_027,0.0911,0.0372
2012-07-07 11:00:00,busload_028,0.0419,0.0126
2012-07-07 11:00:00,busload_029,0.1837,0.0753
2012-07-07 11:00:00,busload_030,0.0957,0.0289
2012-07-07 11:00:00,busload_031,0.1302,0.0472
2012-07-07 11:30:00,vsource,0,0
2012-07-07 11:30:00,bus_001,0.0,0.0
2012-07-07 11:30:00,bus_002,0.0,0.0
